Date,State,State_resident_number
05/04/2020,CT,242257
05/04/2020,DC,128423
05/04/2020,DE,18878
05/04/2020,FL,40526
05/04/2020,GA,1209514
05/04/2020,GU,638637
05/04/2020,HI,2344
05/04/2020,IA,53374
05/04/2020,ID,197487
05/04/2020,IL,75336
05/04/2020,IN,633903
05/04/2020,KS,363648
05/04/2020,KY,179223
05/04/2020,LA,236368
05/04/2020,MA,289720
05/04/2020,MD,215576
05/04/2020,ME,236671
05/04/2020,MI,43185
05/04/2020,MN,446177
05/04/2020,MO,263442
05/04/2020,MP,380095
05/04/2020,MS,9
05/04/2020,MT,208225
05/04/2020,NC,39667
05/04/2020,ND,545596
05/04/2020,NE,39120
05/04/2020,NH,119511
05/04/2020,NJ,51986
05/04/2020,NM,381271
05/04/2020,NV,77529
05/04/2020,NY,127589
05/04/2020,OH,728986
05/04/2020,OK,621280
05/04/2020,OR,281141
05/04/2020,PA,160150
05/04/2020,PR,530968
05/04/2020,RI,74918
05/04/2020,SC,36928
05/04/2020,SD,305075
05/04/2020,TN,43725
05/04/2020,TX,413920
05/04/2020,UT,1756566
05/04/2020,VA,138796
05/04/2020,VI,368525
05/04/2020,VT,506
05/04/2020,WA,16575
05/04/2020,WI,284587
05/04/2020,WV,268460
05/04/2020,WY,84069
05/11/2020,AK,24575
05/11/2020,AL,22423
05/11/2020,AR,381010
05/11/2020,AS,206040
05/11/2020,AZ,4
05/11/2020,CA,303082
05/11/2020,CO,1304284
05/11/2020,CT,239691
05/11/2020,DC,129810
05/11/2020,DE,18543
05/11/2020,FL,39825
05/11/2020,GA,1187467
05/11/2020,GU,631214
05/11/2020,HI,2342
05/11/2020,IA,52493
05/11/2020,ID,197221
05/11/2020,IL,73263
05/11/2020,IN,632415
05/11/2020,KS,365131
05/11/2020,KY,176293
05/11/2020,LA,233368
05/11/2020,MA,286099
05/11/2020,MD,218014
05/11/2020,ME,236958
05/11/2020,MI,43286
05/11/2020,MN,445364
05/11/2020,MO,258329
05/11/2020,MP,371170
05/11/2020,MS,5
05/11/2020,MT,205289
05/11/2020,NC,38670
05/11/2020,ND,534980
05/11/2020,NE,39278
05/11/2020,NH,117935
05/11/2020,NJ,52707
05/11/2020,NM,385557
05/11/2020,NV,74059
05/11/2020,NY,125554
05/11/2020,OH,735733
05/11/2020,OK,623254
05/11/2020,OR,275311
05/11/2020,PA,154071
05/11/2020,PR,533798
05/11/2020,RI,70140
05/11/2020,SC,37281
05/11/2020,SD,298328
05/11/2020,TN,42880
05/11/2020,TX,404796
05/11/2020,UT,1733456
05/11/2020,VA,136192
05/11/2020,VI,365119
05/11/2020,VT,512
05/11/2020,WA,16929
05/11/2020,WI,275119
05/11/2020,WV,269247
05/11/2020,WY,82585
05/18/2020,AK,24374
05/18/2020,AL,22333
05/18/2020,AR,381202
05/18/2020,AS,207028
